,text,date,account,followers,retweets,favorites
1036,"URL x CAFFEINE
Excited to announce this major step forward!! I managed to get @urltv and @caffeine linked up with t… https://t.co/GNhskimL3p",2020-02-11 20:05:52,Drake,39395251,2011,8327
1037,RT @partynextdoor: LOYAL remix ft. @Drake &amp; @sanbenito https://t.co/mNd5IuZi9x https://t.co/Oi7KHIISW5,2020-02-07 05:21:59,Drake,39395251,10597,0
1038,Congrats to the cast and crew on their premiere at @sundancefest. Honored to be a part of this. https://t.co/gou3DPVd2w,2020-01-25 05:45:27,Drake,39395251,452,4284
1039,"RT @OVOSound: Drake “War” (Video) 
https://t.co/taDWx4vY6p",2019-12-24 05:36:18,Drake,39395251,11235,0
1040,"RT @PopcaanMusic: We going live right now #VANQUISH out now #876GUD 
https://t.co/X3w58HmQvA https://t.co/N3YI6o1EQN",2019-12-20 06:06:00,Drake,39395251,1148,0
1041,"RT @CargoJetAirways: A night of Champions celebrating Champions. Our sincerest thanks to our loyal customers as well as Kyle Lowry, Serge I…",2019-12-06 20:31:50,Drake,39395251,622,0
1042,RT @partynextdoor: Loyal feat. @Drake out now https://t.co/aGmBC4jFmu https://t.co/U2Olu9JRdQ,2019-11-22 05:21:53,Drake,39395251,18785,0
1043,"RT @OVOSound: Kevin o Chris “Ela É do Tipo Remix” ft. @Drake @KevinOChris 

https://t.co/mjDvMdJkho https://t.co/YAUAlR3O9e",2019-11-06 17:15:54,Drake,39395251,1719,0
1044,RT @OVOSound: TOP BOY Music from the Show &amp; Soundtrack @topboynetflix https://t.co/mWKC5grdln,2019-09-26 18:25:38,Drake,39395251,589,0
1045,"TOP BOY (a selection of music inspired by the series) Now Available Everywhere! @OVOSound 
TOP BOY - The Netflix Se… https://t.co/oGuCDcN8Hh",2019-09-13 04:05:56,Drake,39395251,1268,5455
1046,"RT @OVOSound: TOP BOY
  Friday Sept 13 https://t.co/tSkdWi32XV",2019-09-11 17:30:48,Drake,39395251,3020,0
1047,Almost that time!!! TOP BOY https://t.co/0wDyY4rk5r,2019-08-31 22:38:10,Drake,39395251,1652,9187
